ACTION	PREVIOUS LPU NAME	CURRENT LPU NAME	PREVIOUS SRCLST NAME	CURRENT SRCLST NAME	RESULT
LPURENAME	esn_all_moldflow	esn_all_moldflow	about.resx	about.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	about.resx	about.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrlhashin.resx	cntrlhashin.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrlhashin.resx	cntrlhashin.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrltsaiwu.resx	cntrltsaiwu.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrltsaiwu.resx	cntrltsaiwu.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrlunimct.resx	cntrlunimct.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrlunimct.resx	cntrlunimct.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrlwvmct.resx	cntrlwvmct.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	cntrlwvmct.resx	cntrlwvmct.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	failcritparams.resx	failcritparams.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	failcritparams.resx	failcritparams.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmcohesive.resx	frmcohesive.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmcohesive.resx	frmcohesive.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmmain.resx	frmmain.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmmain.resx	frmmain.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmselection.resx	frmselection.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmselection.resx	frmselection.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	resources.resx	resources.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	resources.resx	resources.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	heliusuires.rc	heliusuires.rc	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	resources.resx	resources.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	variabilityinput.resx	variabilityinput.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	variabilityinput.resx	variabilityinput.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	onsetgeneral.resx	onsetgeneral.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	onsetgeneral.resx	onsetgeneral.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmxyplot.resx	frmxyplot.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmxyplot.resx	frmxyplot.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmsettings.resx	frmsettings.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmsettings.resx	frmsettings.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmoptreminder.resx	frmoptreminder.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmoptreminder.resx	frmoptreminder.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmmain.resx	frmmain.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmmain.resx	frmmain.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmlaminate.resx	frmlaminate.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	frmlaminate.resx	frmlaminate.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	addenv.resx	addenv.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	addenv.resx	addenv.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
LPURENAME	esn_all_moldflow	esn_all_moldflow	about.resx	about.resx	FOUND MATCH
LPURENAME	esn_all_moldflow	esn_all_moldflow	about.resx	about.resx	SKIPED - EMPTY SRC LST IN BOTH SRC LSTS
!!!WARNING: No errors to be validated.
Testcase score: 100
No errors to be validated
